seq,cycles,kind,pc,addr,value,aux,r0,r1,r2,r3,r4,r5,r12,sp,lr
65,19859847,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
66,20140743,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
67,20421639,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
68,20702535,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
69,20983431,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
70,21264327,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
71,21545223,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
72,21826119,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
73,22107015,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
74,22387911,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
75,22668807,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
76,22949703,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
77,23230599,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
78,23511495,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
79,23792391,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
